match_id,world_cup_year,match_date,cycle_start,feature_cutoff,ranking_year,ranking_semester,team_a,team_b,country,neutral,team_a_is_host,team_a_rank,team_a_fifa_points,team_a_days_since_last_match,team_a_cycle_games,team_a_cycle_points_per_game,team_a_cycle_goals_for_per_game,team_a_cycle_goals_against_per_game,team_a_official_points_per_game,team_a_last5_points_per_game,team_a_last10_points_per_game,team_a_last10_opponent_points_mean,team_b_rank,team_b_fifa_points,team_b_days_since_last_match,team_b_cycle_games,team_b_cycle_points_per_game,team_b_cycle_goals_for_per_game,team_b_cycle_goals_against_per_game,team_b_official_points_per_game,team_b_last5_points_per_game,team_b_last10_points_per_game,team_b_last10_opponent_points_mean,diff_rank,diff_fifa_points,diff_cycle_points_per_game,diff_cycle_goals_for_per_game,diff_cycle_goals_against_per_game,diff_last5_points_per_game,diff_last10_points_per_game,diff_last10_opponent_points_mean,score_a,score_b,result
WC1998_0001,1998,1998-06-10,1994-07-17,1998-06-10,1997,2,Brazil,Scotland,France,1,0,1,73.0,7,62,2.4838709677419355,2.4838709677419355,0.7096774193548387,2.310344827586207,1.8,2.0,46.7,36,52.0,11,36,1.7222222222222223,1.2222222222222223,0.6388888888888888,2.16,1.0,1.4,41.8,-35.0,21.0,0.7616487455197132,1.2616487455197132,0.0707885304659499,0.8,0.6000000000000001,4.900000000000006,2,1,0
WC1998_0002,1998,1998-06-10,1994-07-17,1998-06-10,1997,2,Morocco,Norway,France,1,0,12,58.0,6,40,2.025,1.925,0.625,1.92,0.4,1.5,49.0,12,58.0,14,41,2.024390243902439,2.097560975609756,0.6829268292682927,2.2222222222222223,2.2,2.4,47.5,0.0,0.0,0.0006097560975608651,-0.17256097560975614,-0.057926829268292734,-1.8000000000000003,-0.8999999999999999,1.5,2,2,1
WC1998_0003,1998,1998-06-11,1994-07-17,1998-06-10,1997,2,Cameroon,Austria,France,1,0,53,45.0,5,52,1.4615384615384615,1.1730769230769231,1.2115384615384615,1.6153846153846154,2.2,2.1,38.857142857142854,24,55.0,8,29,1.9310344827586208,2.0689655172413794,1.0344827586206897,2.05,1.8,2.4,35.3,29.0,-10.0,-0.4694960212201593,-0.8958885941644563,0.17705570291777173,0.40000000000000013,-0.2999999999999998,3.557142857142857,1,1,1
WC1998_0004,1998,1998-06-11,1994-07-17,1998-06-10,1997,2,Italy,Chile,France,1,0,6,60.0,8,36,1.9444444444444444,1.6111111111111112,0.75,1.9615384615384615,2.0,1.4,56.2,12,58.0,6,50,1.52,1.64,1.3,1.173913043478261,1.6,1.7,51.2,-6.0,2.0,0.4244444444444444,-0.028888888888888742,-0.55,0.3999999999999999,-0.30000000000000004,5.0,2,2,1
WC1998_0005,1998,1998-06-12,1994-07-17,1998-06-10,1997,2,France,South Africa,France,0,1,6,60.0,5,41,2.048780487804878,1.6097560975609757,0.5121951219512195,1.75,1.6,1.9,54.7,30,53.0,4,44,1.5681818181818181,1.3409090909090908,1.0227272727272727,1.9375,1.0,1.3,47.333333333333336,-24.0,7.0,0.48059866962305997,0.2688470066518849,-0.5105321507760532,0.6000000000000001,0.5999999999999999,7.366666666666667,3,0,0
WC1998_0006,1998,1998-06-12,1994-07-17,1998-06-10,1997,2,Paraguay,Bulgaria,France,1,0,26,54.0,4,49,1.530612244897959,1.2857142857142858,1.1224489795918366,1.5357142857142858,0.2,0.7,56.9,36,52.0,5,34,1.8235294117647058,1.8235294117647058,1.0294117647058822,2.0952380952380953,1.4,1.9,47.5,-10.0,2.0,-0.29291716686674674,-0.53781512605042,0.0930372148859544,-1.2,-1.2,9.399999999999999,0,0,1
WC1998_0007,1998,1998-06-12,1994-07-17,1998-06-10,1997,2,Saudi Arabia,Denmark,France,1,0,30,53.0,7,78,1.7820512820512822,1.6025641025641026,1.1282051282051282,1.9545454545454546,1.2,1.3,52.6,6,60.0,5,35,2.0,1.4857142857142858,0.8571428571428571,2.0416666666666665,0.8,1.4,42.6,24.0,-7.0,-0.21794871794871784,0.11684981684981688,0.2710622710622711,0.3999999999999999,-0.09999999999999987,10.0,0,1,2
WC1998_0008,1998,1998-06-13,1994-07-17,1998-06-10,1997,2,South Korea,Mexico,France,1,0,26,54.0,6,74,1.7972972972972974,1.9324324324324325,1.0810810810810811,1.8888888888888888,1.2,1.7,49.55555555555556,4,61.0,7,74,1.6216216216216217,1.7567567567567568,1.1756756756756757,1.78,1.6,1.8,51.5,22.0,-7.0,0.17567567567567566,0.17567567567567566,-0.09459459459459452,-0.40000000000000013,-0.10000000000000009,-1.9444444444444429,1,3,2
WC1998_0009,1998,1998-06-13,1994-07-17,1998-06-10,1997,2,Netherlands,Belgium,France,1,0,22,56.0,5,36,1.9444444444444444,2.1944444444444446,0.6944444444444444,2.0434782608695654,2.6,2.3,45.6,41,50.0,4,33,1.6363636363636365,1.5757575757575757,1.1818181818181819,1.7272727272727273,1.6,1.9,52.7,-19.0,6.0,0.30808080808080796,0.618686868686869,-0.48737373737373746,1.0,0.3999999999999999,-7.100000000000001,0,0,1
WC1998_0010,1998,1998-06-13,1994-07-17,1998-06-10,1997,2,Spain,Nigeria,France,1,0,10,59.0,7,34,2.264705882352941,2.088235294117647,0.5588235294117647,2.4166666666666665,2.0,2.3,42.8,68,39.0,5,26,1.2307692307692308,1.0769230769230769,1.3076923076923077,1.4,0.8,1.1,49.3,-58.0,20.0,1.0339366515837103,1.0113122171945703,-0.748868778280543,1.2,1.1999999999999997,-6.5,2,3,2
